Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
Uždaroji akcinė bendrovė „Kauno profilaktinės dezinfekcijos stotis“,132338662,"Savanorių pr. 392, Kaunas",29-24-1202,9/23/2013,9/16/2018,Savanorių pr. 392,Eiguliai,Iškaba: „Kenkėjų naikinimas“,70-13-1128,2,
J. Misevičienės firma „Ignita“,132350999,"Šv. Gertrūdos g. 70, Kaunas",29-24-2331,8/21/2014,7/17/2019,Šv. Gertrūdos g. 70,Senamiestis,Iškaba: „Drūtuolių pasaulis“,70-13-2088,0.5,
Uždaroji akcinė bendrovė „Fantas“,132354862,"Drobės g. 39F, Kaunas",29-24-753,3/10/2014,3/9/2019,Drobės g. 27B,Žemieji Šančiai,Komercinė nuoroda: „UAB „Fantas“  Baldų ir automobilių salonų restauravimas  Drobės g. 39F“,70-13-833,1.53,
 V. Vaškevičiaus įmonė „Vaiva“ ,132385765,"Seniavos pl. 8F, Kaunas",29-24-745,5/1/2018,5/1/2019,K. Škirpos g. 17,Eiguliai,Iškaba: „VAIVA  “,70-13-505,"1,95",
UAB „Balticdance“,132405157,"Ringuvos g. 34, Kaunas",29-24-37,1/15/2015,11/26/2019,Šiaulių g. 56,Naujamiestis,Iškaba: „Liudmilos salonas“,70-13-2902,2.03,
Uždaroji akcinė bendrovė „Ceremina“,132410713,"R. Kalantos g. 76A, Kaunas",29-24-1565,7/25/2018,7/30/2021,R. Kalantos g. 76A,Petrašiūnai,Iškaba: „Ceremina  Šarvojimo salės  Laidojimo paslaugų centras“,70-13-677,6.45,
Uždaroji akcinė bendrovė „Blyksnis“,132411434,"Ateities pl. 34, Kaunas",29-24-2237,11/18/2015,11/12/2020,Ateities pl. 34,Palemonas,Iškaba: „Paminklai  Blokų pjovimas  Granito plokščių pardavimas“,70-13-1269,3,
Uždaroji akcinė bendrovė „Elektromontuotojas“ ,132439736,"Technikos g. 25, Kaunas",29-24-1748,9/15/2015,9/1/2020,Technikos g. 25,Naujasodis,Iškaba: „elektoMontuotojas“,70-13-935,3,
Akcinė bendrovė „Kauno metrologijos centras“ ,132442337,"E. Ožeškienės g. 25, Kaunas",29-24-2056,12/31/2013,12/30/2018,E. Ožeškienės g. 25,Naujamiestis,Iškaba: „Akcinė bendrovė „Kauno metrologijos centras“ “,70-13-1849,0.33,
V. Ribinsko privati firma „Riva“,132470272,"V. Putvinskio g. 49, Kaunas",29-24-735,3/5/2014,2/25/2019,V. Putvinskio g. 49,Naujamiestis,Iškaba: „RIVA  Medicinos reikmenys“,70-13-824,0.72,
UAB „ANA&ET“,132504212,"Vaidoto g. 121A/2-7, Kaunas",29-24-1482,7/10/2018,6/17/2023,Taikos pr. 28,Gričiupis,Iškaba: „Kavinė  Araratas  Ararat“,70-13-720,"0,55",
Ritos Skilinskienės įmonė,132524439,"Širvintų g. 12-3, Kaunas",29-24-3117,1/13/2015,1/14/2019,Širvintų g. 12,Žaliakalnis,Iškaba: „Odontologijos kabinetas  Įėjimas iš Kalniečių g.   Odontologijos kabinetas  Darbo laikas“,70-13-190,1.35,
UAB Kauno butų ūkis,132532496,"Chemijos g. 18, Kaunas",29-24-1169,5/18/2016,5/11/2021,Chemijos g. 18,Amaliai,Iškaba: „Kauno butų ūkis“,70-13-605,4.05,
Uždaroji akcinė bendrovė „Kardanas“,132548867,"E. Ožeškienės g. 17B, Kaunas",29-24-1651,11/13/2013,11/12/2018,E. Ožeškienės g. 17B,Naujamiestis,Iškaba: „Kardanas  Kardaninių velenų taisymas  Darbo laikas“,70-13-1522,3.12,
Uždaroji akcinė bendrovė „Rimtis“ ,132550366,"Vaidoto g. 35, Kaunas",29-24-1036,3/31/2014,3/30/2019,A. Juozapavičiaus pr. ir Vokiečių g. sankryža,Žemieji Šančiai,Komercinė nuoroda: „Rimtis  Laidotuvių rūmai  “,70-13-999,3,
UAB „Rimtis“ ,132550366,"Vaidoto g. 35, 45389, Kaunas",29-24-2318,1/19/2017,1/14/2019,Vaidoto g. 35,Žemieji Šančiai,Iškaba: „Rimtis  Visos laidojimo paslaugos  Šarvojimo salės  Telefonai  www.rimtis.lt“,70-13-197,6.91,
UAB „Rimtis“ ,132550366,"Vaidoto g. 35, 45389, Kaunas",29-24-2413,12/10/2016,12/5/2018,A. Juozapavičiaus pr. 1,Žemieji Šančiai,Iškaba: „UAB Rimtis  Laidotuvių rūmai  UAB Rimtis  “,70-13-1795,3.85,
UAB  „Bravo LT“,132608734,"Žemaičių g. 78-2, Kaunas",29-24-458,3/15/2018,2/12/2019,Ateities pl. 77C,Naujasodis,Iškaba: „Bravo  www.bravoindai.lt“,70-13-422,1.43,
Uždaroji akcinė bendrovė „Kauno švara“ ,132616649,"Statybininkų g. 3, Kaunas",29-24-2,1/2/2018,12/27/2022,Statybininkų g. 3,Kalniečiai,Iškaba: „Mano Kaunas  Kauniečių aptarnavimo centras“,70-13-1751,16.024,
Kauno savivaldybės įmonė „Kapinių priežiūra“,132626180,"K. Donelaičio g. 70, Kaunas",29-24-105,1/13/2014,1/9/2019,K. Donelaičio g. 70,Naujamiestis,Iškaba: „Kauno savivaldybės įmonė „Kapinių priežiūra““,70-13-109,0.15,
Kauno savivaldybės įmonė „Kapinių priežiūra“,132626180,"K. Donelaičio g. 70, Kaunas",29-24-106,1/13/2014,1/9/2019,K. Donelaičio g. 70 / Vasario 16-osios g. 9,Naujamiestis,Iškaba: „Kauno savivaldybės įmonė „Kapinių priežiūra“  Laidojimo prekės ir paslaugos  Darbo laikas  Telefonai“,70-13-110,0.22,
Kauno savivaldybės įmonė „Kapinių priežiūra“,132626180,"K. Donelaičio g. 70, Kaunas",29-24-107,1/13/2014,1/9/2019,K. Donelaičio g. 70 / Vasario 16-osios g. 9,Naujamiestis,Iškaba: „Kauno savivaldybės įmonė „Kapinių priežiūra“  Laidojimo paslaugų tarnyba pasirengusi Jums padėti netekties valandą  Darbo laikas  Telefonai  Lipdukai“,70-13-110,0.75,
Kauno savivaldybės įmonė „Kapinių priežiūra“,132626180,"Savanorių pr. 347, 49423, Kaunas",29-24-506,3/13/2017,3/9/2022,Prie Savanorių pr. 347,Naujamiestis,Komercinė nuoroda: „Kauno savivaldybės įmonė „Kapinių priežiūra“  Savanorių pr. 347“,70-13-196,1.8,
Kauno savivaldybės įmonė „Kapinių priežiūra“,132626180,"Savanorių pr. 347, 49423, Kaunas",29-24-507,3/13/2017,3/9/2022,Savanorių pr. 347,Naujamiestis,Iškaba: „Kauno savivaldybės įmonė „Kapinių priežiūra“  “,70-13-197,0.88,
Julijonos Prokopienės įmonė „Vyšnelė“,132636299,"Panerių g. 71A, Kaunas",29-24-2992,11/18/2014,10/28/2019,Panerių g. 71A,Panerys,Iškaba: „Vyšnelė  Alinė  Užkandžiai (2 vnt.)  Darbo laikas“,70-13-2712,1.12,
V. Sado firma „Vaidolina“,132636712,"Jonavos g. 168-2, Kaunas",29-24-2588,9/24/2014,9/16/2019,Jonavos g. 168,Kalniečiai,Iškaba: „Kviečiame skaniai ir greitai pavalgyti  Kavinė Baras Vaidolina  I-V 11-18“,70-13-2506,1.6,
V. Sado firma „Vaidolina“,132636712,"Jonavos g. 168-2, Kaunas",29-24-2492,12/2/2016,11/4/2018,Jonavos g. 168,Kalniečiai,Iškaba: „Kavinė Baras Vaidolina (2 vnt.)  Darbo laikas“,70-13-1490,2.41,
Rasos Obelenienės įmonė,132656743,"Alsėdžių g. 5-52, Kaunas",29-24-134,1/15/2014,7/1/2018,Sukilėlių pr. 42A,Kalniečiai,Komercinė nuoroda: „Alaus baras  Darbo laikas“,70-13-155,1.12,
Uždaroji akcinė bendrovė „Init“,132658751,"Laisvės al. 30A, Kaunas",29-24-343,2/21/2017,1/14/2019,Laisvės al. 30A,Naujamiestis,Iškaba: „Init  Kabelinė televizija  Skaitmeninė televizija  Internetas  Telefonas“,70-13-166,1.19,
Uždaroji akcinė bendrovė „Init“,132658751,"Laisvės al. 30A, Kaunas",29-24-344,3/28/2017,11/1/2020,Savanorių pr. 287,Kalniečiai,Iškaba: „Init  Kabelinė televizija  Skaitmeninė televizija  Internetas  Telefono ryšys  init darbo laikas  Init  www.init.lt“,70-13-1227,11.58,
Uždaroji akcinė bendrovė „Bis“,132668336,"A. Juozapavičiaus pr. 54-1, Kaunas",29-24-2028,10/26/2015,10/7/2020,A. Juozapavičiaus pr. 54,Žemieji Šančiai,Iškaba: „Kulinarija  Konditerija“,70-13-1090,1.65,
Uždaroji akcinė bendrovė „Terra“,132669961,"Draugystės g. 22, 51256, Kaunas",29-24-1132,6/3/2018,4/28/2019,Draugystės g. 22,Naujasodis,Iškaba: „Terra“,70-13-1327,"5,74",
Uždaroji akcinė bendrovė „Užuovėja“,132670020,"Šv. Gertrūdos g. 68, Kaunas",29-24-1280,4/29/2014,4/28/2019,Šv. Gertrūdos g. 68,Senamiestis,Iškaba: „Rėminimo dirbtuvės (2 vnt. ir konsolė)“,70-13-1219,5.52,
V. Šuliauskienės įmonė,132682485,"Jonavos g. 210, Kaunas",29-24-1918,10/16/2015,10/5/2020,Jonavos g. 210,Kalniečiai,Iškaba: „Plovykla“,70-13-1062,3.66,
V. Šuliauskienės įmonė,132682485,"Jonavos g. 210, Kaunas",29-24-19,1/18/2018,8/28/2019,Jonavos g. 210,Senamiestis,Komercinė nuoroda: „Plovykla“,70-13-2395,1.68,
Uždaroji akcinė bendrovė „Polibeta“,132699043,"Karo Ligoninės g. 6/ Kaunakiemio g. 38, Kaunas",29-24-159,1/26/2018,1/26/2019,Karo Ligoninės g. 6,Naujamiestis,Iškaba: „GOODE  Grožio salonas“,70-13-16,1.62,
Uždaroji akcinė bendrovė „FIGARO“,132713849,"Kalniečių g. 22-1, Kaunas",29-24-1846,8/30/2017,8/27/2022,Vilniaus g. 44,Senamiestis,Iškaba: „Figaro optika“,70-13-1247,0.31,
Algio Karčiausko įmonė,132717712,"Jurbarko g. 5, Kaunas",29-24-2521,12/19/2017,6/18/2019,Jurbarko g. 5,Vilijampolė,Iškaba: „Žūklės reikmenys“,70-13-1854,1.5,
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-1468,5/14/2014,5/12/2019,Aukštaičių g. 43,Žaliakalnis,Iškaba: „Kauno vandenys  Logotipas“,70-13-1392,"11,73",
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-1469,5/14/2014,5/13/2019,Aukštaičių g. 43,Žaliakalnis,Iškaba: „Kauno vandenys  “,70-13-1434,"3,86",
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-1470,5/14/2014,5/13/2019,Aukštaičių g. 43,Žaliakalnis,"Komercinis stendas (komercinė reklama): „Logotipas Kauno vandenys (3 vnt., vėliavos) “",70-13-1456,"5,85",
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-1471,5/14/2014,5/13/2019,R. Kalantos g. 122,Petrašiūnai,Komercinė nuoroda: „Kauno vandenys  Petrašiūnų vandenvietė  R. Kalantos g. 122“,70-13-1419,"1,44",
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2396,8/29/2014,8/28/2019,Ašigalio g. 8,Eiguliai,Iškaba: „Kauno vandenys  UAB „Kauno vandenys“  Tinklų cechas  Tinklų eksploatacijos tarnyba  Ašigalio g. 8“,70-13-2306,"1,28",
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2397,8/29/2014,8/28/2019,Aukštaičių g. 43,Žaliakalnis,Iškaba: „Kauno vandenys  Darbo laikas“,70-13-2307,"0,34",
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2398,8/29/2014,8/28/2019,Muravos g. 5,Eiguliai,Iškaba: „Kauno vandenys  Darbo laikas“,70-13-2308,"4,66",
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2399,8/29/2014,3/12/2019,Jonavos g. 53,Kleboniškis,Komercinė nuoroda: „Kauno vandenys  Eigulių vandenvietė  Jonavos g. 53“,70-13-2309,2.3,
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2400,8/29/2014,8/28/2019,Statybininkų g. 12,Kalniečiai,Komercinė nuoroda: „Kauno vandenys  Transporto skyrius  Energetikos skyriaus metrologijos grupė  Statybininkų g. 12“,70-13-2310,0.58,
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2401,8/29/2014,8/28/2019,Sakalų g. 2,Rokai,Komercinė nuoroda: „Kauno vandenys  Panemunės vandens siurblinė  Sakalų g. 2“,70-13-2311,1.44,
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2402,8/29/2014,8/28/2019,Dariaus ir Girėno g. 42,Aleksotas,Komercinė nuoroda: „Kauno vandenys  Aleksoto vandens siurblinė  Dariaus ir Girėno g. 42“,70-13-2312,1.44,
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2403,8/29/2014,8/26/2019,Marvelės g. 199A,Marvelė,Komercinė nuoroda: „Kauno vandenys  Nuotekų valykla“,70-13-2313,2.69,
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2404,8/29/2014,8/28/2019,Betygalos g. 4,Vilijampolė,Iškaba: „Kauno vandenys  Siurblinių cechas“,70-13-2314,0.84,
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2405,8/29/2014,8/28/2019,Apuolės g. 7 ,Smėliai,Komercinė nuoroda: „Kauno vandenys  Vilijampolės vandens siurblinė  Apuolės g. 7 “,70-13-2315,1.44,
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2406,8/29/2014,8/28/2019,Kruonio g. 23,Vičiūnai,Komercinė nuoroda: „Kauno vandenys  Vičiūnų vandenvietė  Kruonio g. 23“,70-13-2316,"1,44",
Uždaroji akcinė bendrovė „Kauno vandenys“,132751369,"Aukštaičių g. 43, Kaunas",29-24-2449,9/2/2014,8/23/2019,Chemijos g. 9B,Naujasodis,Iškaba: „Vandens gerinimo įrenginiai.  Kauno vandenys“,70-13-2343,"5,69",
Uždaroji akcinė bendrovė „Rusnė“,132754130,"Miško g. 30-78, Kaunas",29-24-1494,10/24/2013,10/13/2018,Miško g. 30,Naujamiestis,Iškaba: „UAB „Rusnė“   Pastatų projektavimas“,70-13-1341,0.08,
UAB „Jakuta“,132765536,"Raudondvario pl. 135A, Kaunas",29-24-133,1/22/2018,1/21/2019,Prie Raudondvario pl. ir Kulautuvos g. sankryžos,Lampėdžiai,Komercinė nuoroda: „Jakuta  Baldų gamyba  Raudondvario pl. 135A“,70-13-14,1.92,
Uždaroji akcinė bendrovė „Lęšis“,132808820,"Savanorių pr. 206, Kaunas",29-24-2431,11/24/2017,11/23/2018,Savanorių pr. 206,Dainava,Iškaba: „Optika  Akių ligų kabinetas (2 vnt.)  Optika  Lęšis (dvipusė konsolė)“,70-13-1041,5.6,
Vido Žukausko įmonė,132812295,"Birštono g. 6, Kaunas",29-24-1518,10/25/2013,10/16/2018,Birštono g. 6,Senamiestis,Iškaba: „1846  Kauno alus (dvipusė konsolė)“,70-13-1351,1.08,
Uždaroji akcinė draudimo brokerių bendrovė „Arlina“,132818558,"K. Petrausko g. 8-2, Kaunas",29-24-43,1/9/2014,12/10/2018,K. Petrausko g. 8,Žaliakalnis,Iškaba: „Draudimo paslaugos“,70-13-1839,"2,16",
Uždaroji akcinė bendrovė „Sakura“,132842281,"E. Ožeškienės g. 39, Kaunas",29-24-2385,12/10/2015,12/2/2020,E. Ožeškienės g. 39,Naujamiestis,Iškaba: „Sakura  UAB „Sakura“  Mitsubishi electric  effeff“,70-13-1362,1.25,
Uždaroji akcinė bendrovė „UNA“,132843764,"A. Baranausko g. 19A-24, Kaunas",29-24-2946,11/12/2014,9/12/2018,Savanorių pr. 363,Eiguliai,Iškaba: „LIcatrans Pervežimai autocisternomis  Odonta Odontologijos klinika  Geros sveikatos kabinetas  No magic Europe  UAB Žemėtvarkos darbai  Lietuvos kredito Unija  ERGO“,70-13-2732,1.05,
Uždaroji akcinė bendrovė „Alma“,132850239,"Draugystės g. 15B, Kaunas",29-24-1602,5/26/2014,5/25/2019,Maironio g. 28,Naujamiestis,Iškaba: „ECOVIS  Advokatų kontora  Lauko reklamos tinklas  Reklamos agentūra Bigudy  HOST1PLUS  Agnapolio dvaras ir kt. (2 vnt.) “,70-13-1479,1.67,
Uždaroji akcinė bendrovė „Alma“ ,132850239,"Draugystės g. 15B, Kaunas",29-24-2395,11/20/2017,11/2/2021,Draugystės g. 15B,Naujasodis,Iškaba: „e5  Verslo centras“,70-13-1188,6.16,
Uždaroji akcinė bendrovė „Socialinių paslaugų tarnyba“ ,132864363,"Šiaurės pr. 25-17, Kaunas",29-24-25,1/4/2018,12/27/2022,Jonavos g. 60,Žaliakalnis,Iškaba: „Teledema    “,70-13-1642,3.15,
Veronikos Pranciulienės įmonė „Veronika“,132868956,"Savanorių pr. 95, Kaunas",29-24-603,4/26/2018,9/30/2018,Savanorių pr. 95,Žaliakalnis,"Komercinė nuoroda: „Dienos pietūs, užkandžiai, kepsniai, lietuviški patiekalai  VERONIKA“",70-13-2891,"3,24",
Veronikos Pranciulienės įmonė „Veronika“,132868956,"Savanorių pr. 95, Kaunas",29-24-604,4/26/2018,9/30/2018,Savanorių pr. 95,Žaliakalnis,Iškaba: „Kavinė 00-24  Baras 00-24  Kavinė VERONIKA 00-24  Baras  “,70-13-2891,"8,64",
Reginos Kunikauskienės IĮ,132877624,"Strazdo g. 62, Kaunas",29-24-26,1/7/2014,12/13/2018,Strazdo g. 62,Panerys,Komercinė nuoroda: „Motelis “,70-13-1858,"2,7",
Uždaroji akcinė bendrovė „Aurika“,132878726,"Taikos pr. 129A, Kaunas",29-24-2578,1/10/2017,12/8/2021,Prie Chemijos g. 29H,Naujasodis,Komercinė nuoroda: „Aurika  Etikečių gamintoja“,70-13-1331,3.84,
Uždaroji akcinė bendrovė „Aurika“,132878726,"Taikos pr. 129A, 51127, Kaunas",29-24-1160,5/31/2018,5/30/2019,Prie Taikos pr. 129A,Naujasodis,Komercinė nuoroda: „Aurika  Etikečių gamintoja“,70-13-539,8.4,
Uždaroji akcinė bendrovė „Aurika“,132878726,"Taikos pr. 129A, Kaunas",29-24-1161,5/31/2018,5/30/2019,Taikos pr. 129A,Naujasodis,Iškaba: „Aurika  “,70-13-540,13.43,
Uždaroji akcinė bendrovė „Aurika“,132878726,"Taikos pr. 129A, Kaunas",29-24-1162,5/31/2018,5/30/2019,Prie Taikos pr. 129A,Naujasodis,Komercinis stendas (komercinė reklama): „Aurika  (vėliavos)“,70-13-541,6,
Uždaroji akcinė bendrovė „Aurika“,132878726,"Taikos pr. 129A, Kaunas",29-24-1163,5/31/2018,5/30/2019,Chemijos g. 29H,Naujasodis,Iškaba: „Aurika “,70-13-542,6.33,
Uždaroji akcinė bendrovė „Aurika“,132878726,"Taikos pr. 129A, Kaunas",29-24-1164,5/31/2018,5/30/2019,Prie Chemijos g. 29H,Naujasodis,Komercinis stendas (komercinė reklama): „Aurika (vėliavos) “,70-13-543,6,
UAB „Deivina“,132919393,"V. Krėvės pr. 131B, Kaunas",29-24-3108,11/28/2014,11/27/2019,V. Krėvės pr. 131B,Naujasodis,Iškaba: „Savitarnos Restoranas  Restoranas   Restoranas Deivina (3 vnt.)  Pokylių salės  “,70-13-2808,23.8,
UAB „Deivina“,132919393,"V. Krėvės pr. 131B, Kaunas",29-24-182,2/1/2018,1/16/2019,Taikos pr. prie Nr. 151,Naujasodis,Iškaba: „Kavinė“,70-13-77,4.08,
UAB „Deivina“,132919393,"V. Krėvės pr. 131B, Kaunas",29-24-183,2/1/2018,1/28/2023,V. Krėvės pr. 131B,Naujasodis,Iškaba: „Kebabinė  Kava  Sumuštiniai  Greitieji užkandžiai“,70-13-84,5.035,
UAB „Žavesys“,132927340,"Vilniaus g. 62, Kaunas",29-24-2161,10/24/2017,10/9/2018,Vilniaus g. 62,Senamiestis,Iškaba: „Žavesys  Kirpykla  Kailių salonas  Avalynės salonas“,70-13-1330,1,
Uždaroji akcinė bendrovė „Plastic formo“,132930660,"Palemono g. 5C, Kaunas",29-24-837,4/12/2017,4/5/2022,Palemono g. 5C,Palemonas,Iškaba: „Plastic formo“,70-13-325,10.9,
Uždaroji akcinė bendrovė „Plastic formo“,132930660,"Palemono g. 5C, Kaunas",29-24-1422,6/13/2017,6/12/2022,Palemono g. 5C,Palemonas,Komercinė nuoroda: „PF Plastic formo  Palemono g. 5C  Kaunas“,70-13-894,1.87,
UAB Kauno natūralios medicinos centras „Echoton“,132948320,"Maironio g. 8-2, Šiauliai",29-24-984,3/26/2014,3/16/2019,Maironio g. 8,Naujamiestis,Iškaba: „Kauno natūralios medicinos centras „Echoton“  Darbo laikas“,70-13-997,1.11,
UAB „Viržuona“,132963048,"Vytauto pr. 12-7, Kaunas",29-24-757,4/7/2015,3/25/2020,Vytauto pr. 12,Naujamiestis,Iškaba: „Viržuona  Kava  Pyragaičiai“,70-13-362,0.25,
Uždaroji akcinė bendrovė „Aerogeodezijos institutas“,132970427,"Pramonės pr. 13, Kaunas",29-24-1986,12/20/2013,11/25/2018,Pramonės pr. 13,Žaliakalnis,Iškaba: „Žemėlapių parduotuvė“,70-13-1840,"1,83",
Uždaroji akcinė bendrovė „Aerogeodezijos institutas“,132970427,"Pramonės pr. 13, Kaunas",29-24-425,2/5/2014,2/4/2019,Pramonės pr. 13,Gričiupis,Iškaba: „Aerogeodezijos institutas  AGI“,70-13-357,"2,04",
Uždaroji akcinė bendrovė „Agota“,132975164,"Pramonės pr. 24A, Kaunas",29-24-1599,7/11/2017,6/21/2022,Savanorių pr. 226,Dainava,Iškaba: „Svečių namai AGOTA“,70-13-991,2,
Uždaroji akcinė bendrovė „Ūla“,132989299,"Raudondvario pl. 139A, Kaunas",29-24-2923,11/7/2014,10/16/2019,Raudondvario pl. 139A,Veršvai,Iškaba: „ŪLA  Autoservisas“,70-13-2689,10.21,
Uždaroji akcinė bendrovė „Magistralė“,133005486,"Kulautuvos g. 20, 47192, Kaunas",29-24-2143,11/15/2017,11/14/2018,Prie Raudondvario pl. ir Kulautuvos g. sankryžos,Veršvai,"Komercinė nuoroda: „Magistralė  Požeminių komunikacijų tiesimas  Vandentiekio, buitinių nuotekų, šiluminių trasų tiesimas, rekonstrukcija“",70-13-1227,1.92,
Andrejus Surovas (UAB „Implantas“),133052589,"Kalniečių g. 100, Kaunas",29-24-720,2/28/2014,1/15/2019,Kalniečių g. 100,Žaliakalnis,Iškaba: „Dantų implantacijos klinika“,70-13-219,0.58,
A. Gabrionio reklamos ir meno dirbinių dirbtuvė „Artreka “,133057020,"Pramonės pr. 32-36, Kaunas",29-24-1287,5/23/2016,1/21/2021,prie Elektrėnų g. 8,Naujasodis,Komercinė nuoroda: „Artreka“,70-13-54,3.02,
A. Gabrionio reklamos ir meno dirbinių dirbtuvė „Artreka “,133057020,"Pramonės pr. 32-36, Kaunas",29-24-2109,10/11/2017,10/9/2018,Prie Elektrėnų g. 8,Naujasodis,Komercinė nuoroda: „Reklamos dirbtuvė Artreka“,70-13-1262,1.744,
P. Rugio įmonė „Broliai juodvarniai“,133061442,"Varnių g. 44-31, Kaunas",29-24-1575,11/8/2013,10/8/2018,Varnių g. 44A,Vilijampolė,Iškaba: „Gyvas alus“,70-13-1332,"1,86",
P. Rugio įmonė „Broliai juodvarniai“,133061442,"Varnių g. 44-31, Kaunas",29-24-1576,11/8/2013,9/8/2018,Žemaičių pl. 11A,Smėliai,Iškaba: „Vaisiai  Ledai  Gėrimai  Greitasis maistas  Užeiga“,70-13-1313,7.64,
P. Rugio įmonė „Broliai juodvarniai“,133061442,"Varnių g. 44-31, Kaunas",29-24-1577,11/8/2013,9/30/2018,Žemaičių pl. 11A,Smėliai,Iškaba: „Broliai Juodvarniai  Užeiga“,70-13-1233,3.54,
P. Rugio įmonė „Broliai juodvarniai“,133061442,"Varnių g. 44-31, Kaunas",29-24-1578,11/8/2013,9/30/2018,Žemaičių pl. 11A,Smėliai,Iškaba: „Kebabai“,70-13-1257,3,
P. Rugio įmonė „Broliai juodvarniai“,133061442,"Varnių g. 44-31, Kaunas",29-24-1797,12/2/2013,12/2/2018,Varnių g. 44A,Vilijampolė,Iškaba: „Broliai juodvarniai“,70-13-1332,1.1,
P. Rugio įmonė „Broliai juodvarniai“,133061442,"Varnių g. 44-31, Kaunas",29-24-1798,12/2/2013,11/30/2018,Varnių g. 15,Vilijampolė,Iškaba: „Užeiga (2 vnt.) CocaCola (2 vnt.)“,70-13-1614,1.8,
P. Rugio įmonė „Broliai juodvarniai“,133061442,"Varnių g. 44-31, Kaunas",29-24-231,1/24/2014,1/14/2019,Žemaičių pl. 11A,Žaliakalnis,Iškaba: „Kepti viščiukai“,70-13-159,2.01,
P. Rugio įmonė „Broliai juodvarniai“,133061442,"Varnių g. 44-31, Kaunas",29-24-736,3/5/2014,1/12/2019,Varnių g. 44A,Vilijampolė,Iškaba: „Kebabai“,70-13-160,3.24,
P. Rugio įmonė „Broliai juodvarniai“,133061442,"Varnių g. 44-31, Kaunas",29-24-3174,12/11/2014,11/10/2019,Šarkuvos g. 26A,Milikoniai,Iškaba: „Kebabai  Broliai Juodvarniai  Balta siena“,70-13-2798,"3,44",
P. Rugio įmonė „Broliai juodvarniai“,133061442,"Varnių g. 44-31, Kaunas",29-24-719,4/16/2018,3/26/2023,V. Krėvės pr. 11,Dainava,Iškaba: „Gyvas skonis“,70-13-254,2.508,
