Eil. Nr.,Lic. Nr.,Licencija galioja,,Licencijos turėtojo rekvizitai:,,,,Prekybos vietos,,Licencijos rūšis: verstis mažmenine prekyba,Prekybos alkoholiniais gėrimais laikas,Licencijos galiojimas sustabdytas,,Licencijos,,,Prekybos alkoholiniais gėrimais būdas
1604,2149/1,2017-11-17,n,UAB „Bio Sala“,301608656,,,Kalniečiai,"parduotuvės alkoholinių gėrimų skyrius, Savanorių pr. 255, Kaunas","alk. gėrimais, kurių tūrinė etilo alkoholio koncentracija neviršija 22 proc.",8–22 val.,,,,,,išsinešti
1605,1869,2008-05-09,n,K. Gerčinskienės IĮ,301634544,,,Dainava,"kioskas prie pastato V. Krėvės pr. 7, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",nenurodytas,,,,,,išsinešti
1606,1878,2008-06-18,n,UAB „Rokmanas“,301635571,,,Dainava,"kavinė, Butrimonių g. 7, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1607,1894,2008-09-25,n,UAB „NEXTA“,301635639,,,Žemieji Šančiai,"kavinė, A. Juozapavičiaus pr. 83, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1608,1894/1,2013-06-28,n,UAB „NEXTA“,301635639,,,Freda,"picerija, Europos pr. 99, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1609,2331,2014-05-09,n,UAB „RES SOL“,301635977,,,Naujamiestis,"kavinė, Laisvės al. 55, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1610,1871,2008-05-30,n,UAB „Laimava ir ko“,301643575,,,Gričiupis,"specializuotas prekybos skyrius, Pašilės g. 30-2, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,išsinešti
1611,1955,2009-10-05,n,UAB „Reidas“,301650541,,,Žaliakalnis,"specializuotas alkoholinių gėrimų prekybos skyrius, Savanorių pr. 192, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1612,1875,2008-06-13,n,"Amber Food, UAB",301675046,,,Vičiūnai,"restoranas, Vilkų g. 20, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1613,1875/1,2008-06-13,n,"Amber Food, UAB",301675046,,,Milikoniai,"restoranas, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1614,1875/2,2008-06-13,n,"VIČIŪNŲ RESTORANŲ GRUPĖ, UAB",301675046,,,Dainava,"restoranas, V. Krėvės pr. 97, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1615,1875/3,2008-06-13,n,"Amber Food, UAB",301675046,,,Dainava,"restoranas, V. Krėvės pr. 57, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1616,1875/4,2008-06-13,n,"Amber Food, UAB",301675046,,,Smėliai,"restoranas, Baltijos g. 59, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1617,1875/5,2011-04-15,n,"Amber Food, UAB",301675046,,,Naujamiestis,"I aukšto baras restorane, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1618,1875/6,2011-04-15,n,"Amber Food, UAB",301675046,,,Naujamiestis,"II aukšto baras restorane, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1619,1875/7,2011-08-17,n,"Amber Food, UAB",301675046,,,Naujamiestis,"restoranas „Charlie pizza“, Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1620,1875/8,2011-08-17,n,"Amber Food, UAB",301675046,,,Naujamiestis,"du greito maisto barai (2-6), II a.,  Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1621,1875/9,2011-08-17,n,"Amber Food, UAB",301675046,,,Naujamiestis,"3 baras, II a., Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1622,1875/10,2011-08-17,n,"Amber Food, UAB",301675046,,,Naujamiestis,"4 greito maisto baras, IV a., Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1623,1875/11,2011-08-17,n,"Amber Food, UAB",301675046,,,Naujamiestis,"5 greito maisto baras, IV a., Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1624,1875/12,2011-09-08,n,"Amber Food, UAB",301675046,,,Naujamiestis,"restoranas „Charlie pizza“, Laisvės al. 68, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1625,1875/13,2012-05-03,n,"Amber Food, UAB",301675046,,,Naujamiestis,"restoranas „Ice Cafe“, Laisvės al. 68, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1626,1875/14,2013-08-07,n,"Amber Food, UAB",301675046,,,Eiguliai,"restoranas, Šiaurės pr. 8D, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1627,1875/15,2016-09-09,n,"Amber Food, UAB",301675046,,,Naujamiestis,"greito maisto barai Nr. 7, 10, 11  II a., Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1628,1875/16,2016-09-09,n,"Amber Food, UAB",301675046,,,Naujamiestis,"greito maisto barai Nr. 9, 12, 13, 14, 15  IV a.,Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1629,1863,2008-04-21,n,UAB „3M CLUB“,301675911,,,Gričiupis,"kavinė, M. Riomerio g. 37, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1630,1912,2009-01-09,n,UAB „GERAS KIEMAS“,301681782,,,Žaliakalnis,"kavinė, Savanorių pr. 170, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1631,1876,2008-06-18,n,IĮ „ANDMATIS“,301731370,,,Sargėnai,"kioskas prie namo Vandžiogalos g. 15, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",9–18 val.,,,,,,išsinešti
1632,2444,2015-09-30,n,UAB „Siaiva“,301732561,,,Naujamiestis,"parduotuvės alkoholinių gėrimų skyrius, Savanorių pr. 79, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,išsinešti
1633,2444/1,2016-03-15,n,UAB „Siaiva“,301732561,,,Naujamiestis,"baras, Savanorių pr. 79, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
1634,1885,2008-08-28,n,UAB „RAIZI“,301735671,,,Aukštieji Šančiai,"picerija, Verkių g. 6, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1635,2472,2016-03-07,n,UAB „Delikatesai“,301737843,,,Senamiestis,"parduotuvės alkoholinių gėrimų skyrius, Vilniaus g. 66, Kaunas",alkoholiniais gėrimais,10–20 val.,,,,,,išsinešti
1636,1937,2009-06-10,n,UAB SIČUAN,301740775,,,Naujamiestis,"kavinė, A. Mickevičiaus g. 30, Kaunas",alkoholiniais gėrimais,11–23 val.,,,,,,gerti ten pat ir išsinešti
1637,1937/1,2009-06-10,n,UAB SIČUAN,301740775,,,Naujamiestis,"restoranas, Gedimino g. 30-3 / Kęstučio g. 23-3, Kaunas",alkoholiniais gėrimais,11–23 val.,,,,,,gerti ten pat ir išsinešti
1638,1937/2,2009-06-10,n,UAB SIČUAN,301740775,,,Senamiestis,"restoranas, Kumelių g. 16, Kaunas",alkoholiniais gėrimais,11–23 val.,,,,,,gerti ten pat ir išsinešti
1639,1891,2008-09-18,n,UAB „J&Li“,301744631,,,Senamiestis,"restoranas, Vilniaus g. 13-20, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,gerti ten pat ir išsinešti
1640,1891/1,2011-03-17,n,UAB „J&Li“,301744631,,,Naujasodis,"kavinė, Pramonės pr. 14 (11F1p), Kaunas",alkoholiniais gėrimais,9–18 val.,,,,,,gerti ten pat ir išsinešti
1641,1891/2,2012-05-04,n,UAB „J&Li“,301744631,,,Naujasodis,"kavinė Rytinės galerijos 21 salėje, Pramonės pr. 16 (5F1b), Kaunas",alkoholiniais gėrimais,9–18 val.,,,,,,gerti ten pat
1642,2236,2013-03-14,n,UAB „HONGYAN“,301746746,,,Naujasodis,"kavinė, Rytinės galerijos 21 salė, Pramonės pr. 16 (5F1b), Kaunas",alkoholiniais gėrimais,9–17 val.,,,,,,gerti ten pat ir išsinešti
1643,2090,2011-05-12,n,UAB „VIKSPANA“,301754732,,,Naujamiestis,"kavinė, K. Donelaičio g. 27, Kaunas","alk. gėrimais, kurių tūrinė etilo alkoholio koncentracija neviršija 22 proc.",9–20 val.,,,,,,gerti ten pat ir išsinešti
1644,2019,2010-08-25,n,UAB „KENORA“,301797655,,,Senamiestis,"kavinė, Vilniaus g. 13-1, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1645,2573,2017-09-22,n,UAB „Svelitus“,301798547,,,Naujasodis,"parduotuvės alkoholinių gėrimų skyrius, Taikos pr. 92, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1646,2269,2013-06-28,n,UAB „Azijos skoniai“,301806759,,,Naujamiestis,"restoranas, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1647,2269/1,2014-07-24,n,UAB „Azijos skoniai“,301806759,,,Kalniečiai,"restoranas, Savanorių pr. 255 , Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1648,2269/2,2015-04-24,n,UAB „Azijos skoniai“,301806759,,,Milikoniai,"restoranas, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1649,1890,2008-09-09,n,UAB „Gamtos virtuvė“,301806773,,,Milikoniai,"restoranas „Čili Kaimas“, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1650,1889,2008-09-11,n,UAB „Čili pica“,301806798,,,Dainava,"picerija, Savanorių pr. 346, Kaunas",alkoholiniais gėrimais,8–2 val.,,,,,,gerti ten pat ir išsinešti
1651,1889/1,2008-09-11,n,UAB „Čili pica“,301806798,,,Gričiupis,"picerija, K. Baršausko g. 66A, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1652,1889/2,2008-09-11,n,UAB „Čili pica“,301806798,,,Milikoniai,"picerija, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1653,1889/3,2008-09-11,n,UAB „Čili pica“,301806798,,,Naujamiestis,"picerija, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1654,1889/4,2008-09-16,n,UAB „Čili pica“,301806798,,,Dainava,"picerijos II a. baras, Savanorių pr. 346, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1655,1889/5,2010-09-23,n,UAB „Čili pica“,301806798,,,Gričiupis,"restoranas, Pramonės pr. 29, Kaunas",alkoholiniais gėrimais,9–24 val.,,,,,,gerti ten pat ir išsinešti
1656,1896,2008-10-03,n,IĮ „Revada“,301819685,,,Milikoniai,"kioskas prie namo Šarkuvos g. 22, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",nenurodytas,,,,,,išsinešti
1657,1893,2008-09-18,n,IĮ „Groma 2“,301845662,,,Gričiupis,"kioskas prie pastato Pašilės g. 75, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",nenurodytas,,,,,,išsinešti
1658,2028,2010-10-22,n,UAB „TATA ENERGY“,301850563,,,Naujamiestis,"paviljonas, Vytauto pr. 6B, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
1659,1911,2008-12-19,n,UAB „Sėkmita“,301915623,,,Naujamiestis,"kavos baras, Laisvės al. 31, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1660,1911/1,2011-03-17,n,UAB „Sėkmita“,301915623,,,Senamiestis,"kavinė, Vilniaus g. 25, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,gerti ten pat
1661,1899,2008-10-31,n,UAB „Pride music“,301945545,,,Naujamiestis,"kavinė, V. Putvinskio g. 48, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1662,1900,2008-11-04,n,UAB „Auvidas“,302041543,,,Eiguliai,"restoranas, Jonavos g. 43B, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1663,2163,2012-03-14,n,UAB „Sveikatingumo projektai“,302050542,,,Naujamiestis,"kavinė, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat
1664,1902,2008-11-10,n,UAB „Egipto saujelė“,302066532,,,Senamiestis,"restoranas, M. Daukšos g. 29, Kaunas",alkoholiniais gėrimais,12–24 val.,,,,,,gerti ten pat ir išsinešti
1665,2318,2014-01-14,n,UAB „Lemana“,302229538,,,Vilijampolė,"kavinė, Bajorų g. 8, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1666,1934,2009-05-12,n,UAB „Kiprita“,302240716,,,Gričiupis,"baras, K. Baršausko g. 77-9, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1667,2432,2015-06-23,n,UAB „VIPO LT“,302248894,,,Freda,"kavinė, Veiverių g. 51, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1668,2432/1,2016-08-03,n,UAB „VIPO LT“,302248894,,,Eiguliai,"kavinė, Šiaurės pr. 44, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1669,2432/2,2017-03-27,n,UAB „VIPO LT“,302248894,,,Dainava,"kavinė, Taikos pr. 117A, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1670,2564,2017-08-04,n,UAB „EGREDA“,302251050,,,Naujasodis,"kavinė, Geltonosios galerijos 6 salė, Pramonės pr. 16(1F1p), Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
1671,1907,2008-12-16,n,UAB „RG Gelmės“,302251253,,,Senamiestis,"specializuota alkoholinių gėrimų prekybos įmonė, Karaliaus Mindaugo pr. 18, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,išsinešti
1672,1922,2009-03-25,n,UAB „Teisinga virtuvė“,302253610,,,Naujasodis,"kavinė, Taikos pr. 145, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1673,1922/2,2009-10-28,n,UAB „Teisinga virtuvė“,302253610,,,Naujamiestis,"kavinė, Vytauto pr. 6, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1674,1922/3,2010-01-27,n,UAB „Teisinga virtuvė“,302253610,,,Žaliakalnis,"kavinė, Savanorių pr. 192, Kaunas",alkoholiniais gėrimais,8–4 val.,,,,,,gerti ten pat ir išsinešti
1675,1923,2009-03-25,n,IĮ „Špinatas“,302291600,,,Smėliai,"kavinė, Prūsų g. 4, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,vartoti vietoje ir išsinešti
1676,1913,2009-01-30,n,UAB „Uoselė“,302293537,,,Milikoniai,"kavinė 2 aukšte, Šarkuvos g. 1A, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,gerti ten pat ir išsinešti
1677,1913/1,2011-05-17,n,UAB „Uoselė“,302293537,,,Naujasodis,"kavinė, Pramonės pr. 16A, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1678,1913/2,2011-05-17,n,UAB „Uoselė“,302293537,,,Smėliai,"kavinė, Žemaičių pl. 23, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
1679,2112,2011-07-27,n,UAB „Impuls LT“,302294920,,,Smėliai,"baras, Baltų pr. 16, Kaunas",alkoholiniais gėrimais,18–6 val.,,,,,,gerti ten pat
1680,1931,2009-05-07,n,UAB „Pats pliusas“,302296191,,,Naujamiestis,"restoranas, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1681,1931/1,2009-05-20,n,UAB „Pats pliusas“,302296191,,,Naujamiestis,"restoranas, Laisvės al. 76, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1682,1983,2010-02-03,n,UAB „MOBSERVICE“,302299180,,,Naujasodis,"kavinė, Rytinės galerijos 19 salė, Pramonės pr. 16 (8F1b), Kaunas",alkoholiniais gėrimais,8–17.30 val.,,,,,,gerti ten pat ir išsinešti
1683,1927,2009-04-03,n,IĮ „Jolmeba“,302301628,,,Naujasodis,"paviljonas, Taikos pr. 135B, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",9–17 val.,,,,,,išsinešti
1684,1921,2009-03-25,n,UAB „MAMBO-BRAVARIA KAUNAS“,302302598,,,Naujamiestis,"restoranas, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1685,1921/1,2009-03-25,n,UAB „MAMBO-BRAVARIA KAUNAS“,302302598,,,Naujamiestis,"picerija, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1686,1924,2009-03-25,n,UAB „METELICA KAUNAS“,302302609,,,Naujamiestis,"naktinio klubo baras, Laisvės al. 46A, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1687,1990,2010-03-04,n,UAB „Anttralo.lt“,302304898,,,Dainava,"specializuota alkoholinių gėrimų prekybos įmonė antrame aukšte, V. Krėvės pr. 43, Kaunas","alk. gėrimais, kurių tūrinė etilo alkoholio koncentracija neviršija 22 proc.",8–19 val.,,,,,,išsinešti
1688,1990/2,2011-04-15,n,UAB „Anttralo.lt“,302304898,,,Vilijampolė,"baras, Neries krantinė 16, Kaunas","alk. gėrimais, kurių tūrinė etilo alkoholio koncentracija neviršija 22 proc.",8–18 val.,,,,,,gerti ten pat
1689,1990/3,2011-06-22,n,UAB „Anttralo.lt“,302304898,,,Naujasodis,"baras Rytinės galerijos 21 salėje, Pramonės pr. 16(5F1b), Kaunas","alk. gėrimais, kurių tūrinė etilo alkoholio koncentracija neviršija 22 proc.",9–18 val.,,,,,,gerti ten pat
1690,1942,2009-06-26,n,UAB „SĖKLŲ VERSMĖ“,302305288,,,Kazliškiai,"specializuotas alkoholinių gėrimų prekybos skyrius, Kalvarijos g. 38, Kaunas",alkoholiniais gėrimais,8–17 val.,,,,,,išsinešti
1691,1929,2009-04-30,n,UAB „UGO PROJEKTAI“,302326161,,,Senamiestis,"baras, Vilniaus g. 56 / Nemuno g. 34, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat
1692,1929/1,2011-08-18,n,UAB „UGO PROJEKTAI“,302326161,,,Senamiestis,"restoranas, M. Valančiaus g. 27, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1693,2060,2011-02-03,n,UAB „Adriva“,302331500,,,Senamiestis,"kavinė, Šv. Gertrūdos g. 18, Kaunas",alkoholiniais gėrimais,8–2 val.,,,,,,gerti ten pat ir išsinešti
1694,1935,2009-05-21,n,UAB „AMADEJUS“,302331742,,,Žaliakalnis,"baras, Savanorių pr. 168, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1695,1943,2009-07-03,n,UAB „EKAS“,302331984,,,Gričiupis,"kavinė, Pašilės g. 6, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1696,1940,2009-06-17,n,UAB „Linartas“,302335961,,,Žaliakalnis,"specializuota alkoholinių gėrimų prekybos įmonė, Savanorių pr. 60, Kaunas",alkoholiniais gėrimais,9–21 val.,,,,,,išsinešti
1697,1936,2009-06-04,n,UAB „Vildena“,302341836,,,Vaišvydava,"kavinė, Didžioji g. 98, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1698,1941,2009-06-26,n,UAB „Liberty PUB“,302347262,,,Naujamiestis,"kavinė, V. Putvinskio g. 48, Kaunas",alkoholiniais gėrimais,11–3 val.,,,,,,gerti ten pat ir išsinešti
1699,1944,2009-07-03,n,UAB „Remlida“,302347700,,,Milikoniai,"baras, Baltų pr. 16 / Sembų g. 2, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1700,2120,2011-08-18,n,UAB „F and B“,302414273,,,Naujamiestis,"restoranas „1410“, Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1701,2120/1,2011-08-18,n,UAB „F and B“,302414273,,,Naujamiestis,"1 greito maisto baras, 2 greito maisto baras, 3 greito maisto baras, II a., Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1702,2120/4,2011-08-18,n,UAB „F and B“,302414273,,,Naujamiestis,"viskio baras, 1 VIP baras, 2 VIP baras, III a., Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1703,2120/5,2011-08-18,n,UAB „F and B“,302414273,,,Naujamiestis,"4 greito maisto baras, 1 greito maisto baras, 2 greito maisto baras ir 3 greito maisto baras, IV a., Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1704,2326,2014-03-28,n,UAB „Rest Invest“,302418421,,,Naujamiestis,"kavinė, Laisvės al. 56, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1705,1991,2010-03-04,n,UAB „VIKTORTA“,302418446,,,Senamiestis,"kavinė, Laisvės al. 97, Kaunas",alkoholiniais gėrimais,9–21 val.,,,,,,gerti ten pat ir išsinešti
1706,1979,2010-01-20,n,UAB „Afrobana“,302418987,,,Gričiupis,"baras, Saulės g. 41, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1707,2595,2018-02-09,n,UAB „Dober“,302422245,,,Senamiestis,"kavinė, J. Naugardo g. 6-6, Kaunas",alkoholiniais gėrimais,10–2 val.,,,,,,vartoti vietoje
1708,2281,2013-08-23,n,UAB „RIMARGAVA“,302423639,,,Kleboniškis,"kavinė, Savanorių pr. 451A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
1709,1953,2009-09-11,n,UAB „Buddies & diners“,302427648,,,Naujamiestis,"kavinė, S. Daukanto g. 14, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1710,1963,2009-10-28,n,UAB „UNO PIZZA“,302427705,,,Dainava,"kavinė, V. Krėvės pr. 43, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1711,1963/1,2012-09-25,n,UAB „UNO PIZZA“,302427705,,,Naujasodis,"kavinė, Draugystės g. 10, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,gerti ten pat
1712,1963/2,2013-07-10,n,UAB „UNO PIZZA“,302427705,,,Naujamiestis,"kavinė, Laisvės al. 78B-1, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,gerti ten pat
1713,1959,2009-10-22,n,UAB „Fresh Projects“,302430092,,,Naujamiestis,"baras, Laisvės al. 12A, Kaunas",alkoholiniais gėrimais,8–6 val.,,,,,,gerti ten pat ir išsinešti
1714,1959/1,2011-01-11,n,UAB „Fresh Projects“,302430092,,,Senamiestis,"kavinė, Muitinės g. 1 / Rotušės a. 6, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1715,1959/2,2013-12-03,n,UAB „Fresh Projects“,302430092,,,Smėliai,"kavinė, Baltų pr. 18, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1716,1954,2009-09-23,n,UAB „PAS VILIMUS“,302431027,,,Žemieji Šančiai,"kavinė-baras, A. Juozapavičiaus pr. 25, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1717,1977,2009-12-16,n,UAB „ANDRISTA“,302440880,,,Eiguliai,"kavinė, P. Lukšio g. 58, Kaunas",alkoholiniais gėrimais,10–23 val.,,,,,,gerti ten pat
1718,1975,2009-12-16,n,UAB „ST baras“,302445984,,,Senamiestis,"specializuota alkoholinių gėrimų prekybos įmonė, Šv. Gertrūdos g. 38, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1719,1992,2010-03-10,n,UAB „Ingvaida“,302448279,,,Senamiestis,"kavinė, Vilniaus g. 74, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,gerti ten pat ir išsinešti
1720,1992/1,2015-05-12,n,UAB „Ingvaida“,302448279,,,Smėliai,"restoranas, Baltų pr. 16, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
1721,1992/2,2018-03-14,n,UAB „Ingvaida“,302448279,,,Senamiestis,"kavinė, Vilniaus g. 48, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,vartoti vietoje
1722,1989,2010-02-25,n,UAB „Virma ir ko“,302454104,,,Milikoniai,"specializuotas alkoholinių gėrimų prekybos skyrius, Baltų pr. 2-1, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1723,2050,2010-12-22,n,UAB „Fisher & Co.“,302454143,,,Senamiestis,"kavinė, Vilniaus g. 74, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,gerti ten pat
1724,2555,2017-05-08,n,UAB „CAUTOR“,302455195,,,Milikoniai,"kavinė, Kuršių g. 7-12, Kaunas",alkoholiniais gėrimais,10–23 val.,,,,,,vartoti vietoje ir išsinešti
1725,1969/1,2011-02-21,n,"GRAND CAFE RESTORANAS, UAB",302456863,,,Gričiupis,"kavinė, K. Baršausko g. 66A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
